pmid,author,weightage
32787442,Narasimman Sathiamurthy,0.33333
32787442,Narendran Balasubbiah,0.33333
32787442,Benedict Dharmaraj,0.33333
33705435,Claude Saegerman,0.1
33705435,Allison Gilbert,0.1
33705435,Anne-Françoise Donneau,0.1
33705435,Marjorie Gangolf,0.1
33705435,Anh Nguvet Diep,0.1
33705435,Cécile Meex,0.1
33705435,Sébastien Bontems,0.1
33705435,Marie-Pierre Hayette,0.1
33705435,Vincent D'Orio,0.1
33705435,Alexandre Ghuysen,0.1
34332303,Naohide Shinohara,0.125
34332303,Jun Sakaguchi,0.125
34332303,Hoon Kim,0.125
34332303,Naoki Kagi,0.125
34332303,Koichi Tatsu,0.125
34332303,Hiroyuki Mano,0.125
34332303,Yuichi Iwasaki,0.125
34332303,Wataru Naito,0.125
32863816,A Kiefer,0.5
32863816,S Kerzel,0.5
32543256,Pratima Kumari,0.5
32543256,Durga Toshniwal,0.5
32837853,Naomi Schlesinger,0.33333
32837853,Bonnie L Firestein,0.33333
32837853,Luigi Brunetti,0.33333
32979557,Parth Rali,0.04167
32979557,Oisin O'Corragain,0.04167
32979557,Lawrence Oresanya,0.04167
32979557,Daohai Yu,0.04167
32979557,Omar Sheriff,0.04167
32979557,Robert Weiss,0.04167
32979557,Catherine Myers,0.04167
32979557,Parag Desai,0.04167
32979557,Nadia Ali,0.04167
32979557,Anthony Stack,0.04167
32979557,Michael Bromberg,0.04167
32979557,Andrea L Lubitz,0.04167
32979557,Joseph Panaro,0.04167
32979557,Riyaz Bashir,0.04167
32979557,Vladimir Lakhter,0.04167
32979557,Roberto Caricchio,0.04167
32979557,Rohit Gupta,0.04167
32979557,Chandra Dass,0.04167
32979557,Kumaran Maruti,0.04167
32979557,Xiaoning Lu,0.04167
32979557,A Koneti Rao,0.04167
32979557,Gary Cohen,0.04167
32979557,Gerard J Criner,0.04167
32979557,Eric T Choi,0.04167
32979557,,0.04167
34568088,Joram Huckriede,0.11111
34568088,Femke de Vries,0.11111
34568088,Michael Hultström,0.11111
34568088,Kanin Wichapong,0.11111
34568088,Chris Reutelingsperger,0.11111
34568088,Miklos Lipcsey,0.11111
34568088,Pablo Garcia de Frutos,0.11111
34568088,Robert Frithiof,0.11111
34568088,Gerry A F Nicolaes,0.11111
34198110,Bindu Mulakavalupil,0.2
34198110,Charudatta Vaity,0.2
34198110,Shashank Joshi,0.2
34198110,Anoop Misra,0.2
34198110,Rahul Anil Pandit,0.2
33098713,Bente Mertz Nørgård,0.14286
33098713,Jan Nielsen,0.14286
33098713,Torben Knudsen,0.14286
33098713,Rasmus Gaardskaer Nielsen,0.14286
33098713,Michael Due Larsen,0.14286
33098713,Line Riis Jølving,0.14286
33098713,Jens Kjeldsen,0.14286
34393653,Prospera Tedam,1
33815162,Sonja Weilenmann,0.11111
33815162,Jutta Ernst,0.11111
33815162,Heidi Petry,0.11111
33815162,Monique C Pfaltz,0.11111
